Status,Menu Item Name,Menu Item Route,All Routes,Menu Item Product,All Products,Page URL,Source Roles
GAP,"ACA Duplicate Transactions","aca/acaduplicatetransactions","aca/acaduplicatetransactions","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/aca/acaduplicatetransactions","AR Manager - ACA; AR Manager - ACA Admin"
GAP,"ACA Incorrect Transactions","aca/acaincorrecttransactions","aca/acaincorrecttransactions","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/aca/acaincorrecttransactions","AR Manager - ACA; AR Manager - ACA Admin"
GAP,"ACA Setup","aca/setup/","aca/setup/","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/aca/setup/","AR Manager - ACA Admin"
GAP,"Account Tree Validation","accounttreevalidation/list","accounttreevalidation/list","glmanagernet","glmanagernet","","GL Manager"
GAP,"Add HAP Receipt","affordable/hapreceipt","affordable/hapreceipt","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/affordable/hapreceipt","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Add Journal Display Type","JE/displaytype/0","JE/displaytype/0","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/JE/displaytype/0","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Add Payable Batch","glap/payablebatchadd","glap/payablebatchadd","glmanagernet","glmanagernet","","GL Manager"
GAP,"Add Rule","armanager/diaddrule/0","armanager/diaddrule/0","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/diaddrule/0","AR Manager; AR Manager - Payments Admin"
GAP,"Adjustment Batch","armanager/adjustmentbatch/0","armanager/adjustmentbatch/0","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/adjustmentbatch/0","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Affordable Apply Prepay","affordable/affapplyprepay","affordable/affapplyprepay","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/affordable/affapplyprepay","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Apply Credits","armanager/applycredits","armanager/applycredits","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/applycredits","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
