Role,Role Type,Menu,Menu Type,Menu Item Name,Menu Item Route,Menu Item Product,Menu Item Page URL
Acquisition Manager,Global,AcquisitionManager,Global,Acquisitions,acquisitions,AcquisitionManagerNet,/acquisitionmanagernet/content2/acquisitions
Acquisition Manager,Global,AcquisitionManager,Global,Activities,crmdashboard,AcquisitionManagerNet,/acquisitionmanagernet/content2/crmdashboard
Acquisition Manager,Global,AcquisitionManager,Global,Admin,,AcquisitionManagerNet,
Acquisition Manager,Global,AcquisitionManager,Global,Configuration,configuration,AcquisitionManagerNet,/acquisitionmanagernet/content2/configuration
Acquisition Manager,Global,AcquisitionManager,Global,Dashboard,,AcquisitionManagerNet,
Acquisition Manager,Global,AcquisitionManager,Global,Dispositions,dispositions,AcquisitionManagerNet,/acquisitionmanagernet/content2/dispositions
Acquisition Manager,Global,AcquisitionManager,Global,Lenders,lender,AcquisitionManagerNet,/acquisitionmanagernet/content2/lender
Acquisition Manager,Global,AcquisitionManager,Global,Map,propertiesmap,AcquisitionManagerNet,/acquisitionmanagernet/content2/propertiesmap
Acquisition Manager,Global,AcquisitionManager,Global,Reports,,AcquisitionManagerNet,
Acquisition Manager,Global,AcquisitionManager,Global,Toolbox,toolbox,AcquisitionManagerNet,acquisitionmanagernet/content2/toolbox
Acquisition Manager,Global,AcquisitionManager,Global,YSR,ysrreports,AcquisitionManagerNet,/acquisitionmanagernet/content2/ysrreports
Acquisition Manager - Admin,Global,AcquisitionManagerNet,Global,Configuration,app.config.data.datasets,PerformanceManagerNet,
Acquisition Manager - Admin,Global,AcquisitionManagerNet,Global,Dashboards,app.dashboards,PerformanceManagerNet,/performancemanagernet/content/#/app/dashboards
Acquisition Manager - Admin,Global,AcquisitionManagerNet,Global,Reports,app.reports,PerformanceManagerNet,
Acquisition Manager - Admin,Global,AcquisitionManagerNet,Global,Search,app.search,PerformanceManagerNet,
Acquisition Manager v1,Global,AcquisitionManagerNet,Global,Configuration,app.config.data.datasets,PerformanceManagerNet,
Acquisition Manager v1,Global,AcquisitionManagerNet,Global,Dashboards,app.dashboards,PerformanceManagerNet,/performancemanagernet/content/#/app/dashboards
