Source Role(s),Menu Item Name,Menu Item Route,Menu,Menu Type,Menu Item Product,Menu Item Page URL
AR Manager, Payment Portal,tools/toportal,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/toportal
AR Manager, Unexclude Late Fee,armanager/unexcludecommcombinedlatefee,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/unexcludecommcombinedlatefee
GL Manager,$0 1099 Correction for Portal Recipient,/i1099/z1099estmt?Report=1099ZERO,i1099,Global,glmanagernet,glmanagernet/content2/#//i1099/z1099estmt?Report=1099ZERO
GL Manager,$0 1099 Printed Copy B Correction,/i1099/z1099?Report=1099ZERO,i1099,Global,glmanagernet,/glmanagernet/content2/#//i1099/z1099?Report=1099ZERO
GL Manager,1099 Task Run Report,i1099/taskreport,i1099,Global,glmanagernet,/glmanagernet/content2/#/i1099/taskreport
GL Manager,1099 Utility Owner Directory - Detail,i1099/sqlreport?Report=rs_1099_Owner_Directory_Detail.txt,i1099,Global,glmanagernet,/glmanagernet/content2/#/sqlreports/rs_1099_Owner_Directory_Detail/txt
GL Manager,1099 Utility Owner Directory - Summary,i1099/sqlreport?Report=rs_1099_Owner_Directory_Summary.txt,i1099,Global,glmanagernet,/glmanagernet/content2/#/sqlreports/rs_1099_Owner_Directory_Summary/txt
GL Manager,1099 Utility Vendor Directory - Detail,i1099/sqlreport?Report=rs_Vendor_Directory_ActivityDate_Detail.txt,i1099,Global,glmanagernet,
GL Manager,1099 Utility Vendor Directory - Summary,i1099/sqlreport?Report=rs_Vendor_Directory_ActivityDate_Summary.txt,i1099,Global,glmanagernet,/glmanagernet/content2/#/sqlreports/rs_Vendor_Directory_ActivityDate_Summary/txt
AR Manager,A/R Calendar,reports/calendar,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/reports/calendar
AR Manager,ABR BAI2 File Import,reports/abrbai2fileimportreport,AR Manager - ACA,Global,ARManagera13NET,/armanagera13net/content2/reports/abrbai2fileimportreport
AR Manager,ACA Auto Apply Report,aca/acaautoapply,AR Manager - ACA,Global,ARManagera13NET,/armanagera13net/content2/aca/acaautoapply
AR Manager,ACA Duplicate Transactions,aca/acaduplicatetransactions,AR Manager - ACA,Global,ARManagera13NET,/armanagera13net/content2/aca/acaduplicatetransactions
AR Manager,ACA Incorrect Transactions,aca/acaincorrecttransactions,AR Manager - ACA,Global,ARManagera13NET,/armanagera13net/content2/aca/acaincorrecttransactions
AR Manager,ACA Same Transit and Accounts Bank,aca/acasametransitandaccountsbankreport,AR Manager - ACA,Global,ARManagera13NET,/armanagera13net/content2/aca/acasametransitandaccountsbankreport
AR Manager,ACA Setup,aca/setup/,AR Manager - ACA Admin,Global,ARManagera13NET,/armanagera13net/content2/aca/setup/
AR Manager,ACA Summary,aca/dashboard,AR Manager - ACA,Global,ARManagera13NET,/armanagera13net/content2/aca/dashboard
AR Manager,ACA Transaction Summary,aca/acatransactionsummaryreport,AR Manager - ACA,Global,ARManagera13NET,/armanagera13net/content2/aca/acatransactionsummaryreport
AR Manager,ACA Unapplied EFT Setups,aca/acaunappliedeftsetupsreport,AR Manager - ACA,Global,ARManagera13NET,/armanagera13net/content2/aca/acaunappliedeftsetupsreport
GL Manager,Account Tree Validation,accounttreevalidation/list,glmanagernet,Global,glmanagernet,
AR Manager,Add HAP Receipt,affordable/hapreceipt,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/affordable/hapreceipt
AR Manager,Add Journal Display Type,JE/displaytype/0,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/JE/displaytype/0
GL Manager,Add Payable Batch,glap/payablebatchadd,glmanagernet,Global,glmanagernet,
AR Manager,Add Rule,armanager/diaddrule/0,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/diaddrule/0
AR Manager,Adjustment Batch,armanager/adjustmentbatch/0,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/adjustmentbatch/0
AR Manager,Affordable Accounting Exception Report,affordable/accountingreport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/affordable/accountingreport
AR Manager,Affordable Apply Prepay,affordable/affapplyprepay,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/affordable/affapplyprepay
AR Manager,Affordable Receivable Report,affordable/reports/receivablereport,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/affordable/reports/receivablereport
AR Manager,Apply Credits,armanager/applycredits,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/applycredits
AR Manager,Apply Prepayments,applyprepay,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/applyprepay
GL Manager,Audit Non Recoverable JE,taxrecovery/auditnonrecoverableje,glmanagernet,Global,glmanagernet,/glmanagernet/content2/taxrecovery/auditnonrecoverableje
AR Manager,Auto NSF Reverse Setup,setup/saveautonsfreversegridsetups,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/saveautonsfreversegridsetups
Both AR & GL Manager,Bank Manager Configuration,bankreconciliation/bankmanagerconfig,AR Manager,Global,glmanagernet,/glmanagernet/content2/bankreconciliation/bankmanagerconfig
Both AR & GL Manager,Bank Manager Task setup,bankreconciliation/bankmanagertask,AR Manager,Global,glmanagernet,/glmanagernet/content2/bankreconciliation/bankmanagertask
AR Manager,Banks,bank/reviewbank,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/bank/reviewbank
GL Manager,Calculate Billings,icbilling/calculatebillings,glmanagernet,Global,glmanagernet,/glmanagernet/content2/icbilling/calculatebillings
