Status,Menu Item Name,Menu Item Route,All Routes,Menu Item Product,All Products,Page URL,AR Roles,GL Roles,AP Roles,In AR,In GL,In AP
GAP,ACA Duplicate Transactions,aca/acaduplicatetransactions,aca/acaduplicatetransactions,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/aca/acaduplicatetransactions,AR Manager - ACA; AR Manager - ACA Admin,,,Yes,No,No
GAP,ACA Incorrect Transactions,aca/acaincorrecttransactions,aca/acaincorrecttransactions,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/aca/acaincorrecttransactions,AR Manager - ACA; AR Manager - ACA Admin,,,Yes,No,No
GAP,ACA Setup,aca/setup/,aca/setup/,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/aca/setup/,AR Manager - ACA Admin,,,Yes,No,No
GAP,Account Tree Validation,accounttreevalidation/list,accounttreevalidation/list,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,Add Bank Account,app.billpay.banksetup.new,app.billpay.banksetup.new | billpay/banksetup/new,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/billpay/banksetup,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,Add HAP Receipt,affordable/hapreceipt,affordable/hapreceipt,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/affordable/hapreceipt,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Add Journal Display Type,JE/displaytype/0,JE/displaytype/0,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/JE/displaytype/0,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Add Payable Batch,glap/payablebatchadd,glap/payablebatchadd,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,Add PO,app.po.new,app.po.new | po/new,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/po/new,,,AP Manager; AP Manager (New),No,No,Yes
GAP,Add RPO,app.rpo.new,app.rpo.new | rpo/new,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/rpo/add,,,AP Manager; AP Manager (New),No,No,Yes
GAP,Add Rule,armanager/diaddrule/0,armanager/diaddrule/0,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/diaddrule/0,AR Manager; AR Manager - Payments Admin,,,Yes,No,No
GAP,Adjust Payable Holds,app.glap.payableholds,app.glap.payableholds | glap/payableholds,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/glap/payableholds,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,Adjustment Batch,armanager/adjustmentbatch/0,armanager/adjustmentbatch/0,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/adjustmentbatch/0,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Affordable Apply Prepay,affordable/affapplyprepay,affordable/affapplyprepay,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/affordable/affapplyprepay,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Analysis,app.billpay.analysis,app.billpay.analysis | billpay/analysis,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/billpay/analysis,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,Apply Credits,armanager/applycredits,armanager/applycredits,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/applycredits,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Apply Prepayments,applyprepay,applyprepay,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/applyprepay,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Audit Non Recoverable JE,taxrecovery/auditnonrecoverableje,taxrecovery/auditnonrecoverableje,glmanagernet,glmanagernet,/glmanagernet/content2/taxrecovery/auditnonrecoverableje,,GL Manager,,No,Yes,No
GAP,Auto NSF Reverse Setup,setup/saveautonsfreversegridsetups,setup/saveautonsfreversegridsetups,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/saveautonsfreversegridsetups,AR Manager - Payments Admin,,,Yes,No,No
GAP,Bank Manager Configuration,bankreconciliation/bankmanagerconfig,bankreconciliation/bankmanagerconfig,glmanagernet,glmanagernet,/glmanagernet/content2/bankreconciliation/bankmanagerconfig,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,GL Manager,,Yes,Yes,No
GAP,Bank Manager Task setup,bankreconciliation/bankmanagertask,bankreconciliation/bankmanagertask,glmanagernet,glmanagernet,/glmanagernet/content2/bankreconciliation/bankmanagertask,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,GL Manager,,Yes,Yes,No
GAP,Bank Setup,app.billpay.banksetup,app.billpay.banksetup | billpay/banksetup,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/billpay/banksetup,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,Banking Portal,app.billpay.toportal,app.billpay.toportal | billpay/toportal,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/billpay/toportal,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,Banks,bank/reviewbank,bank/reviewbank,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/bank/reviewbank,AR Manager; AR Manager - ACA; AR Manager - ACA Admin; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Calculate Billings,icbilling/calculatebillings,icbilling/calculatebillings,glmanagernet,glmanagernet,/glmanagernet/content2/icbilling/calculatebillings,,GL Manager,,No,Yes,No
GAP,Change Due Date,changetransdate/duedate,changetransdate/duedate,glmanagernet,glmanagernet,/glmanagernet/content2/changetransdate/duedate,,GL Manager,,No,Yes,No
GAP,Change TaxPoint Date,changetransdate/taxpoint,changetransdate/taxpoint,glmanagernet,glmanagernet,/glmanagernet/content2/changetransdate/taxpoint,,GL Manager,,No,Yes,No
