"Section","Label","URL","Level","Parent Path"
"Reports","Affordable","","0",""
"Reports","Affordable Accounting Exception Report","affordable/accountingreport","1","Affordable"
"Reports","Affordable Receivable Report","affordable/reports/receivablereport","1","Affordable"
"Reports","CMPI","","0",""
"Reports","CMPI Statistics Report","reports/cmpistatisticsreport","1","CMPI"
"Reports","CMPI Transaction Count Report","reports/cmpitransactioncountreport","1","CMPI"
"Reports","Collect","","0",""
"Reports","Collect Processor Pre-Sync Report","reports/collectprocessorpresyncreport","1","Collect"
"Reports","Collect Services Return Report","reports/collectServicesReturnReport","1","Collect"
"Reports","Collect Processor Report","reports/collectprocessor","1","Collect"
"Reports","Register","","0",""
"Reports","Register Reports","reports/transactionregisterreport","1","Register"
"Reports","Register Reports (International)","reports/transactionregisterreportint","1","Register"
"Reports","Register Reports","reports/transactionregisterreportnew","1","Register"
"Reports","SQL","","0",""
"Reports","SQL Reports Role Access","sqlreports/roleaccess","1","SQL"
"Reports","SQL Reports","sqlreports/list","1","SQL"
"Reports","WIPS","","0",""
"Reports","WIPS ARU Detail Report","reports/wipsarudetail","1","WIPS"
"Reports","WIPS ARU Header Report","reports/wipsaruheaderreport","1","WIPS"
"Reports","Custom","","0",""
"Reports","Custom Financial Analytics","Customfinancial","1","Custom"
"Reports","Custom Reports","","1","Custom"
"Reports","Financial","","0",""
"Reports","Financial Reports","financialreportsnew","1","Financial"
"Reports","Financial Reports w/ Notes","financialreportsnotes","1","Financial"
"Reports","1099 Task Run Report","i1099/taskreport","0",""
"Reports","PP2 Directory Credit Card Report","reports/pp2DirectoryCCReport","0",""
"Reports","T5 Analytics","armanager/t5analytics","0",""
"Reports","Reports","reports","0",""
"Reports","ACA Auto Apply Report","aca/acaautoapply","0",""
"Reports","Commercial AR Analytics","armanager/commercialanalyticsreport","0",""
"Reports","Daily Recurring Report","reports/dailyrecurringpayments","0",""
"Reports","Dispute Summary Report","reports/disputesummaryreport","0",""
"Reports","EBill Report","aca/ebillreport","0",""
"Reports","Electronic Recipient Statement Report","i1099/erecipientstmtreport","0",""
"Reports","Email Subscription Detail Report","reports/emailsubscriptiondetailreport","0",""
"Reports","Legacy Payment Manager Directory Report","reports/legacypaymentmanagerdirectoryreport","0",""
"Reports","Merchant Account Configuration Report","reports/merchantaccountconfigurationreport","0",""
"Reports","Payments Not Processed Report","reports/paymentsNotProcessed","0",""
"Reports","Recipient Opt In/Opt Out Report","i1099/optinreport","0",""
"Reports","Returned Transaction Report","reports/returnedTransactionReport","0",""
"Reports","Rule Report","receivables/depositinterest/RuleReport","0",""
"Reports","Task Runner Log Report","reports/taskrunnerlogreport","0",""
"Reports","Tenant Disputes Report","reports/tenantdisputesreport","0",""
"Reports","Update 1099 Audit Analytics","i1099/update1099auditanalytics","0",""
"Reports","Velocity Report","reports/velocityreport","0",""
"Reports","AP Analytics","apanalytics","0",""
"Reports","Receivable Analytics","armanager/residentialanalyticsreport","0",""
"Reports","Segment Analytics","segmentanalytics","0",""
"Reports","Weekly Status Report","reports/weeklystatus","0",""
"Reports","YSR Reports","ysrreports","0",""
"Reports","1099 Form Nav Report","/reports/1099-form-nav","0",""
"Reports","Rent Roll","reports/rentroll","0",""
"Reports","Market Rent Schedule","reports/marketrentschedule","0",""
"Reports","Receivable Detail by Charge Code","reports/receivabledetailbychargecode","0",""
"Reports","Rent Roll With Lease Charges","reports/rentrollwithleasecharges","0",""
"Reports","PP2 Directory ACH Report","reports/pp2directoryachreport","0",""
"Reports","Cash Management Deposit Summary Report","reports/cmdepositsummaryreport","0",""
"Reports","Security Deposit Activity","reports/securitydeposit","0",""
"Reports","Performance Receipts Report","reports/performancereceiptsreport","0",""
